"Equipe","Ano de ingresso"
"Knicks","1946"
"Celtics","1946"
"Warriors","1946"
"Pistons","1948"
"Kings","1948"
"Lakers","1948"
"76ers","1949"
"Hawks","1949"
"Wizards","1961"
"Bulls","1966"
"Rockets","1967"
"Thunder","1967"
"Suns","1968"
"Bucks","1968"
"Clippers","1970"
"Trail Blazers","1970"
"Cavaliers","1970"
"Jazz","1974"
"Pacers","1976"
"Nuggets","1976"
"Nets","1976"
"Spurs","1976"
"Mavericks","1980"
"Heat","1988"
"Hornets","1988"
"Timberwolves","1989"
"Magic","1989"
"Raptors","1995"
"Grizzlies","1995"
"Pelicans","2002"
